stack_id,stack_label,dataset,future_distribution,metric,configuration_id,policy,policy_family,policy_label,preference_id,future_share,lambda,lambda_infinite,requested_budget,deployable,analysis_eligible,context_id,n_rotations,scope,u_now,u_future,cost,feasibility_cost,n_contexts,regime_id,config_id,equivalence_id,equivalent_config_ids,equivalence_size,dominated,nondominated,dominated_by,u_now_lo,u_now_hi,u_future_lo,u_future_hi,cost_lo,cost_hi
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__l0|requested_B=80,split__l0,split,"Structured allocation, α=0",l0,0.0,0.0,False,80,True,True,sq:24,96,deployable,0.6145833333333334,0.18402777777777776,73.5625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0002","['configuration_id=""split__l0|requested_B=80""']",1,False,True,[],0.5104166666666666,0.71875,0.13541666666666666,0.23611111111111108,72.40625,74.54166666666667
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__l1|requested_B=80,split__l1,split,"Structured allocation, α=0.5",l1,0.5,1.0,False,80,True,True,sq:24,96,deployable,0.6145833333333334,0.21180555555555555,73.625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0003","['configuration_id=""split__l1|requested_B=80""']",1,False,True,[],0.5208333333333334,0.7083333333333334,0.15625,0.26736111111111116,72.80208333333333,74.39583333333333
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__linf|requested_B=80,split__linf,split,"Structured allocation, α=1",linf,1.0,,True,80,True,True,sq:24,96,deployable,0.21875,0.3055555555555555,74.8125,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""","configuration_id=""split__linf|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""deployable""|eq=0001","['configuration_id=""split__linf|requested_B=80""']",1,False,True,[],0.13541666666666666,0.3125,0.23263888888888887,0.37847222222222215,74.0625,75.54166666666667
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__l0|requested_B=80,split__l0,split,"Structured allocation, α=0",l0,0.0,0.0,False,80,True,True,sq:24,96,all,0.6145833333333334,0.18402777777777776,73.5625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""|eq=0002","['configuration_id=""split__l0|requested_B=80""']",1,False,True,[],0.5104166666666666,0.71875,0.13541666666666669,0.23611111111111108,72.47916666666667,74.57291666666667
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__l1|requested_B=80,split__l1,split,"Structured allocation, α=0.5",l1,0.5,1.0,False,80,True,True,sq:24,96,all,0.6145833333333334,0.21180555555555555,73.625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""|eq=0003","['configuration_id=""split__l1|requested_B=80""']",1,False,True,[],0.5208333333333334,0.7083333333333334,0.15625000000000003,0.2673611111111111,72.82291666666667,74.38541666666667
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,em,split__linf|requested_B=80,split__linf,split,"Structured allocation, α=1",linf,1.0,,True,80,True,True,sq:24,96,all,0.21875,0.3055555555555555,74.8125,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""","configuration_id=""split__linf|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""em"",scope=""all""|eq=0001","['configuration_id=""split__linf|requested_B=80""']",1,False,True,[],0.13541666666666666,0.3125,0.23263888888888892,0.3819444444444445,74.0625,75.51041666666667
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,split__l0|requested_B=80,split__l0,split,"Structured allocation, α=0",l0,0.0,0.0,False,80,True,True,sq:24,96,deployable,0.7750163674810852,0.29189160059258096,73.5625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""|eq=0003","['configuration_id=""split__l0|requested_B=80""']",1,False,True,[],0.6999770767846626,0.8460941028197833,0.23433735983061957,0.3480788842545888,72.47916666666667,74.57317708333333
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,split__l1|requested_B=80,split__l1,split,"Structured allocation, α=0.5",l1,0.5,1.0,False,80,True,True,sq:24,96,deployable,0.7222214193084335,0.3626268610071177,73.625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""","configuration_id=""split__l1|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""|eq=0002","['configuration_id=""split__l1|requested_B=80""']",1,False,True,[],0.6422095595368206,0.7990725417158765,0.31213818474043664,0.41375373266719845,72.83333333333333,74.39583333333333
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,split__linf|requested_B=80,split__linf,split,"Structured allocation, α=1",linf,1.0,,True,80,True,True,sq:24,96,deployable,0.3629297303776471,0.45234015565784785,74.8125,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""","configuration_id=""split__linf|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""deployable""|eq=0001","['configuration_id=""split__linf|requested_B=80""']",1,False,True,[],0.27833091267336063,0.45744173505892244,0.3960317818565892,0.5121948691740358,74.04166666666667,75.5
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17,"Llama-3.1-8B writer / Llama-3.1-8B reader, T=0.2, seed=17",squad_groups,empirical_questions,f1,split__l0|requested_B=80,split__l0,split,"Structured allocation, α=0",l0,0.0,0.0,False,80,True,True,sq:24,96,all,0.7750163674810852,0.29189160059258096,73.5625,80.0,24,"stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""all""","configuration_id=""split__l0|requested_B=80""","stack_id=""sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0.2|seed=17"",dataset=""squad_groups"",future_distribution=""empirical_questions"",metric=""f1"",scope=""all""|eq=0003","['configuration_id=""split__l0|requested_B=80""']",1,False,True,[],0.7004099945613302,0.8469574326183448,0.23564734945632612,0.34762792306526985,72.47890625000001,74.57291666666667
